,model,knowledge,testName,pass@1,pass@5,pass@10,compile@1,compile@5,compile@10
413,Llama 4 Scout,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
417,Llama 4 Scout,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.44999999999999996,0.9702012383900929,0.9999404620147654
455,Mistral 3.1 24B Instruct,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.44999999999999996,0.9702012383900929,0.9999404620147654
459,Mistral 3.1 24B Instruct,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
460,Mistral 3.1 24B Instruct,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
458,Mistral 3.1 24B Instruct,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
453,Mistral 3.1 24B Instruct,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
454,Mistral 3.1 24B Instruct,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
451,Mistral 3.1 24B Instruct,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
452,Mistral 3.1 24B Instruct,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
456,Mistral 3.1 24B Instruct,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
457,Mistral 3.1 24B Instruct,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
461,Mistral 3.1 24B Instruct,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
433,Mistral 3.1 24B Instruct,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
437,Mistral 3.1 24B Instruct,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
438,Mistral 3.1 24B Instruct,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
436,Mistral 3.1 24B Instruct,Basic Knowledge,Gather Neighbors IDs,0.9000,1.0000,1.0000,0.9,1.0,1.0
431,Mistral 3.1 24B Instruct,Basic Knowledge,Calculate Min Distance Neighbors,0.1000,0.4474,0.7632,0.4,0.9489164086687306,0.9996427720885925
432,Mistral 3.1 24B Instruct,Basic Knowledge,Collect Max ID,0.5500,0.9919,1.0000,1.0,1.0,1.0
429,Mistral 3.1 24B Instruct,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.19999999999999996,0.7182662538699691,0.956656346749226
430,Mistral 3.1 24B Instruct,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
434,Mistral 3.1 24B Instruct,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
435,Mistral 3.1 24B Instruct,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
439,Mistral 3.1 24B Instruct,Basic Knowledge,SCR Temperature Above 30,0.0500,0.2500,0.5000,0.9,1.0,1.0
444,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
448,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
449,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
447,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Gather Neighbors IDs,0.7000,0.9996,1.0000,0.7,0.9996130030959752,1.0
442,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.1000,0.4474,0.7632,0.6,0.9963880288957688,1.0
443,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Collect Max ID,0.6500,0.9986,1.0000,1.0,1.0,1.0
440,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Calculate Gradient,0.1000,0.4474,0.7632,0.30000000000000004,0.8708720330237358,0.9945820433436533
441,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
445,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Create Channel,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
446,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
450,Mistral 3.1 24B Instruct,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
488,Mistral 8B,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.5,0.9837461300309598,0.9999945874558878
492,Mistral 8B,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
493,Mistral 8B,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.25,0.8063080495356038,0.9837461300309598
491,Mistral 8B,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
486,Mistral 8B,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
487,Mistral 8B,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
484,Mistral 8B,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
485,Mistral 8B,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
489,Mistral 8B,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
490,Mistral 8B,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
494,Mistral 8B,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
466,Mistral 8B,Basic Knowledge,Count Down,0.0000,0.0000,0.0000,0.95,1.0,1.0
470,Mistral 8B,Basic Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.5,0.9837461300309598,0.9999945874558878
471,Mistral 8B,Basic Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.9,1.0,1.0
469,Mistral 8B,Basic Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
464,Mistral 8B,Basic Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.75,0.9999355005159959,1.0
465,Mistral 8B,Basic Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.95,1.0,1.0
462,Mistral 8B,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.85,1.0,1.0
463,Mistral 8B,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.35,0.9169891640866873,0.9984520123839009
467,Mistral 8B,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.5,0.9837461300309598,0.9999945874558878
468,Mistral 8B,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
472,Mistral 8B,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.19999999999999996,0.7182662538699691,0.956656346749226
477,Mistral 8B,Knowledge with Building Blocks,Count Down,0.0000,0.0000,0.0000,1.0,1.0,1.0
481,Mistral 8B,Knowledge with Building Blocks,Neighbors Count,0.0000,0.0000,0.0000,0.7,0.9996130030959752,1.0
482,Mistral 8B,Knowledge with Building Blocks,Neighbors Count Excluding Self,0.0500,0.2500,0.5000,0.95,1.0,1.0
480,Mistral 8B,Knowledge with Building Blocks,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
475,Mistral 8B,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.6,0.9963880288957688,1.0
476,Mistral 8B,Knowledge with Building Blocks,Collect Max ID,0.0000,0.0000,0.0000,0.85,1.0,1.0
473,Mistral 8B,Knowledge with Building Blocks,Calculate Gradient,0.0000,0.0000,0.0000,0.9,1.0,1.0
474,Mistral 8B,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.25,0.8063080495356038,0.9837461300309598
478,Mistral 8B,Knowledge with Building Blocks,Create Channel,0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
479,Mistral 8B,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
483,Mistral 8B,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
521,Qwen 2.5 Coder 32B Instruct,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
525,Qwen 2.5 Coder 32B Instruct,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
526,Qwen 2.5 Coder 32B Instruct,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.19999999999999996,0.7182662538699691,0.956656346749226
524,Qwen 2.5 Coder 32B Instruct,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
519,Qwen 2.5 Coder 32B Instruct,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
520,Qwen 2.5 Coder 32B Instruct,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
517,Qwen 2.5 Coder 32B Instruct,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
518,Qwen 2.5 Coder 32B Instruct,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
522,Qwen 2.5 Coder 32B Instruct,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
523,Qwen 2.5 Coder 32B Instruct,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
527,Qwen 2.5 Coder 32B Instruct,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
499,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
503,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
504,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
502,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Gather Neighbors IDs,0.3000,0.8709,0.9946,0.35,0.9169891640866873,0.9984520123839009
497,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Calculate Min Distance Neighbors,0.7000,0.9996,1.0000,0.75,0.9999355005159959,1.0
498,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Collect Max ID,0.2000,0.7183,0.9567,0.75,0.9999355005159959,1.0
495,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
496,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.7,0.9996130030959752,1.0
500,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
501,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
505,Qwen 2.5 Coder 32B Instruct,Basic Knowledge,SCR Temperature Above 30,0.1000,0.4474,0.7632,0.44999999999999996,0.9702012383900929,0.9999404620147654
510,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
514,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Neighbors Count,0.9000,1.0000,1.0000,0.9,1.0,1.0
515,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
513,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Gather Neighbors IDs,0.3000,0.8709,0.9946,0.35,0.9169891640866873,0.9984520123839009
508,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.3000,0.8709,0.9946,0.9,1.0,1.0
509,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Collect Max ID,0.0000,0.0000,0.0000,0.95,1.0,1.0
506,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Calculate Gradient,0.1500,0.6009,0.8947,0.25,0.8063080495356038,0.9837461300309598
507,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
511,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Create Channel,0.0500,0.2500,0.5000,0.050000000000000044,0.25,0.5
512,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
516,Qwen 2.5 Coder 32B Instruct,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
